alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,airfoil_list,max_thickness,chord_at_max_thickness,max_camber,chord_at_max_camber,reynolds_no,cl_cd,max_cl_cd
-5.500,-0.6265,0.02104,0.01145,0.0008,1.0000,0.1273,n0009sm-il,9,30.9,0,0,100000,-29.776615969581748,37.30328495034378
-5.250,-0.6042,0.01990,0.01027,0.0021,1.0000,0.1373,n0009sm-il,9,30.9,0,0,100000,-30.361809045226128,37.30328495034378
-5.000,-0.5836,0.01889,0.00933,0.0035,1.0000,0.1519,n0009sm-il,9,30.9,0,0,100000,-30.89465325569084,37.30328495034378
-4.750,-0.5639,0.01787,0.00846,0.0051,1.0000,0.1707,n0009sm-il,9,30.9,0,0,100000,-31.555679910464463,37.30328495034378
-4.500,-0.5459,0.01676,0.00758,0.0071,1.0000,0.2011,n0009sm-il,9,30.9,0,0,100000,-32.57159904534606,37.30328495034378
-4.250,-0.5316,0.01542,0.00682,0.0095,1.0000,0.2743,n0009sm-il,9,30.9,0,0,100000,-34.474708171206224,37.30328495034378
-4.000,-0.5198,0.01424,0.00639,0.0125,1.0000,0.3983,n0009sm-il,9,30.9,0,0,100000,-36.50280898876405,37.30328495034378
-3.750,-0.5050,0.01356,0.00614,0.0152,1.0000,0.4932,n0009sm-il,9,30.9,0,0,100000,-37.24188790560472,37.30328495034378
-3.500,-0.4884,0.01309,0.00595,0.0179,1.0000,0.5720,n0009sm-il,9,30.9,0,0,100000,-37.3109243697479,37.30328495034378
-3.250,-0.4707,0.01273,0.00586,0.0206,1.0000,0.6441,n0009sm-il,9,30.9,0,0,100000,-36.975648075412415,37.30328495034378
-3.000,-0.4511,0.01247,0.00584,0.0232,1.0000,0.7119,n0009sm-il,9,30.9,0,0,100000,-36.17481956696071,37.30328495034378
-2.750,-0.4276,0.01237,0.00591,0.0252,1.0000,0.7777,n0009sm-il,9,30.9,0,0,100000,-34.56750202101859,37.30328495034378
-2.500,-0.3961,0.01253,0.00614,0.0261,1.0000,0.8439,n0009sm-il,9,30.9,0,0,100000,-31.612130885873906,37.30328495034378
-2.250,-0.3457,0.01306,0.00661,0.0235,1.0000,0.8996,n0009sm-il,9,30.9,0,0,100000,-26.470137825421133,37.30328495034378
-2.000,-0.2781,0.01364,0.00698,0.0169,1.0000,0.9314,n0009sm-il,9,30.9,0,0,100000,-20.388563049853374,37.30328495034378
-1.750,-0.2084,0.01399,0.00711,0.0092,1.0000,0.9547,n0009sm-il,9,30.9,0,0,100000,-14.896354538956396,37.30328495034378
-1.500,-0.1341,0.01406,0.00699,0.0001,1.0000,0.9730,n0009sm-il,9,30.9,0,0,100000,-9.53769559032717,37.30328495034378
-1.250,-0.0629,0.01388,0.00666,-0.0089,1.0000,0.9911,n0009sm-il,9,30.9,0,0,100000,-4.531700288184438,37.30328495034378
-1.000,-0.0197,0.01352,0.00623,-0.0132,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,-1.457100591715976,37.30328495034378
-0.750,-0.0138,0.01323,0.00594,-0.0103,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,-1.0430839002267573,37.30328495034378
-0.500,-0.0085,0.01303,0.00575,-0.0071,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,-0.6523407521105142,37.30328495034378
-0.250,-0.0040,0.01291,0.00563,-0.0036,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,-0.30983733539891556,37.30328495034378
0.000,0.0000,0.01287,0.00559,0.0000,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,0.0,37.30328495034378
0.250,0.0040,0.01291,0.00563,0.0036,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,0.30983733539891556,37.30328495034378
0.500,0.0085,0.01303,0.00575,0.0071,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,0.6523407521105142,37.30328495034378
0.750,0.0138,0.01323,0.00594,0.0103,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,1.0430839002267573,37.30328495034378
1.000,0.0197,0.01352,0.00623,0.0132,1.0000,1.0000,n0009sm-il,9,30.9,0,0,100000,1.457100591715976,37.30328495034378
1.250,0.0628,0.01387,0.00665,0.0090,0.9911,1.0000,n0009sm-il,9,30.9,0,0,100000,4.527757750540735,37.30328495034378
1.500,0.1342,0.01406,0.00699,-0.0001,0.9730,1.0000,n0009sm-il,9,30.9,0,0,100000,9.544807965860599,37.30328495034378
1.750,0.2086,0.01399,0.00710,-0.0093,0.9546,1.0000,n0009sm-il,9,30.9,0,0,100000,14.910650464617584,37.30328495034378
2.000,0.2783,0.01363,0.00698,-0.0170,0.9314,1.0000,n0009sm-il,9,30.9,0,0,100000,20.41819515774028,37.30328495034378
2.250,0.3459,0.01306,0.00661,-0.0235,0.8995,1.0000,n0009sm-il,9,30.9,0,0,100000,26.485451761102603,37.30328495034378
2.500,0.3960,0.01253,0.00614,-0.0261,0.8439,1.0000,n0009sm-il,9,30.9,0,0,100000,31.604150039904233,37.30328495034378
2.750,0.4275,0.01237,0.00591,-0.0252,0.7775,1.0000,n0009sm-il,9,30.9,0,0,100000,34.559417946645105,37.30328495034378
3.000,0.4510,0.01247,0.00583,-0.0231,0.7118,1.0000,n0009sm-il,9,30.9,0,0,100000,36.166800320769845,37.30328495034378
3.250,0.4705,0.01273,0.00586,-0.0206,0.6438,1.0000,n0009sm-il,9,30.9,0,0,100000,36.95993715632364,37.30328495034378
3.500,0.4883,0.01309,0.00595,-0.0179,0.5719,1.0000,n0009sm-il,9,30.9,0,0,100000,37.30328495034378,37.30328495034378
3.750,0.5049,0.01356,0.00614,-0.0152,0.4935,1.0000,n0009sm-il,9,30.9,0,0,100000,37.23451327433629,37.30328495034378
4.000,0.5197,0.01424,0.00638,-0.0124,0.3979,1.0000,n0009sm-il,9,30.9,0,0,100000,36.49578651685394,37.30328495034378
4.250,0.5315,0.01541,0.00681,-0.0095,0.2749,1.0000,n0009sm-il,9,30.9,0,0,100000,34.490590525632705,37.30328495034378
4.500,0.5458,0.01676,0.00758,-0.0070,0.2010,1.0000,n0009sm-il,9,30.9,0,0,100000,32.565632458233885,37.30328495034378
4.750,0.5638,0.01787,0.00846,-0.0051,0.1704,1.0000,n0009sm-il,9,30.9,0,0,100000,31.55008393956351,37.30328495034378
5.000,0.5835,0.01890,0.00933,-0.0035,0.1518,1.0000,n0009sm-il,9,30.9,0,0,100000,30.873015873015873,37.30328495034378
5.250,0.6041,0.01990,0.01026,-0.0021,0.1372,1.0000,n0009sm-il,9,30.9,0,0,100000,30.356783919597987,37.30328495034378
5.500,0.6264,0.02104,0.01145,-0.0008,0.1274,1.0000,n0009sm-il,9,30.9,0,0,100000,29.77186311787072,37.30328495034378
5.750,0.6495,0.02250,0.01282,0.0002,0.1202,1.0000,n0009sm-il,9,30.9,0,0,100000,28.866666666666667,37.30328495034378
6.000,0.6719,0.02364,0.01416,0.0015,0.1124,1.0000,n0009sm-il,9,30.9,0,0,100000,28.422165820642977,37.30328495034378
6.250,0.6938,0.02517,0.01574,0.0025,0.1054,1.0000,n0009sm-il,9,30.9,0,0,100000,27.56456098529996,37.30328495034378
6.500,0.7158,0.02676,0.01761,0.0040,0.1004,1.0000,n0009sm-il,9,30.9,0,0,100000,26.748878923766817,37.30328495034378
6.750,0.7371,0.02863,0.01959,0.0051,0.0958,1.0000,n0009sm-il,9,30.9,0,0,100000,25.74572127139364,37.30328495034378
7.000,0.7540,0.03063,0.02205,0.0071,0.0905,1.0000,n0009sm-il,9,30.9,0,0,100000,24.616389160953315,37.30328495034378
